r區域,r平均數,r便利商店,r人口密度,區域,平均數,便利商店,人口密度
鹿草鄉,542,3,270,S,B,B,B
太保市,665,24,577,S,A,B,B
水上鄉,547,27,702,S,B,B,B
中埔鄉,537,22,337,S,B,B,B
竹崎鄉,522,11,211,S,C,B,B
梅山鄉,538,11,153,S,B,B,B
番路鄉,524,6,94,S,C,B,B
大埔鄉,502,1,26,S,C,B,B
阿里山鄉,508,1,13,S,C,B,B
馬公市,717,53,1862,S,A,A,B
湖西鄉,609,5,464,S,A,B,B
白沙鄉,592,3,497,S,B,B,B
西嶼鄉,617,4,446,S,A,B,B
望安鄉,621,1,393,S,A,B,B
七美鄉,680,1,553,S,A,B,B
臺東市,614,89,947,S,A,A,B
成功鎮,501,6,93,S,C,B,B
關山鎮,499,5,141,S,C,B,B
卑南鄉,499,8,41,S,C,B,B
大武鄉,484,3,81,S,C,B,B
太麻里鄉,481,8,112,S,C,B,B
東河鄉,502,3,39,S,C,B,B
長濱鄉,433,1,44,S,C,B,B
鹿野鄉,506,3,83,S,C,B,B
池上鄉,515,5,96,S,C,B,B
綠島鄉,647,2,273,S,A,B,B
延平鄉,477,0,8,S,C,B,B
海端鄉,480,1,5,S,C,B,B
達仁鄉,507,2,11,S,C,B,B
金峰鄉,501,0,10,S,C,B,B
蘭嶼鄉,530,2,108,S,B,B,B
